memAlpha,memBeta,vizAlpha,vizBeta,memory,vision,DV,timestep,memPrecision,vizPrecision
2,1,1,2,1.2036914634114,-0.670623154246148,0.53306830916525,1,3.08820315013796,2.47135321672862
2,1,1,3,1.2036914634114,-1.45326904873476,-0.249577585323361,2,3.08820315013796,2.52258378541076
2,1,2,3,1.2036914634114,-0.295011502941229,0.90867996047017,3,3.08820315013796,2.21195328205441
2,1,2,4,1.2036914634114,-0.824950774848512,0.378740688562886,4,3.08820315013796,2.18852542340435
2,1,3,4,1.2036914634114,-0.466277687567072,0.737413775844326,5,3.08820315013796,2.1294174786085
2,1,3,5,1.2036914634114,-1.47272611895934,-0.269034655547945,6,3.08820315013796,2.0897031180181
2,1,3,6,1.2036914634114,-1.70572281514957,-0.502031351738174,7,3.08820315013796,2.08855765989563
2,1,3,7,1.2036914634114,-1.80535717544427,-0.601665712032873,8,3.08820315013796,2.10881334756906
2,2,4,7,0.877716279285382,-1.07722693729852,-0.199510658013138,9,2.3762684845192,2.0353073129493
2,2,5,7,0.877716279285382,-0.17017764659913,0.707538632686252,10,2.3762684845192,2.02902695633322
2,2,6,7,0.877716279285382,0.842880432319545,1.72059671160493,11,2.3762684845192,2.05690927261239
2,2,6,8,0.877716279285382,0.236956939931522,1.1146732192169,12,2.3762684845192,2.01773881786637
2,2,7,8,0.877716279285382,0.713998003140746,1.59171428242613,13,2.3762684845192,2.04766063937065
2,2,8,8,0.877716279285382,1.15034955488472,2.0280658341701,14,2.3762684845192,2.09134595222633
2,2,8,9,0.877716279285382,1.06690717225395,1.94462345153933,15,2.3762684845192,2.04094109502484
2,2,9,9,0.877716279285382,1.69084765366249,2.56856393294787,16,2.3762684845192,2.08108614843192
3,2,9,10,1.68933826354589,1.64283494467595,3.33217320822184,17,2.56695503261402,2.03584993511254
3,2,9,11,1.68933826354589,0.908078122291532,2.59741638583742,18,2.56695503261402,2.00362170282172
3,2,9,12,1.68933826354589,0.614706604134982,2.30404486768087,19,2.56695503261402,1.98109056730467
3,2,10,12,1.68933826354589,1.11519580656325,2.80453407010914,20,2.56695503261402,2.00161949575033
3,2,10,13,1.68933826354589,1.00553658304563,2.69487484659152,21,2.56695503261402,1.97962557419736
3,2,10,14,1.68933826354589,0.51728763598914,2.20662589953503,22,2.56695503261402,1.9640767695433
3,2,11,14,1.68933826354589,1.10783148523924,2.79716974878514,23,2.56695503261402,1.97886249262035
3,2,11,15,1.68933826354589,1.07898519870675,2.76832346225264,24,2.56695503261402,1.96316920217888
4,2,12,15,2.548073065491,1.61105755943801,4.15913062492901,25,2.83512958830933,1.97854604753719
4,2,13,15,2.548073065491,1.65019057064432,4.19826363613532,26,2.83512958830933,1.99847105520487
4,2,13,16,2.548073065491,1.37746228305999,3.92553534855099,27,2.83512958830933,1.9785179122645
4,2,14,16,2.548073065491,1.48042431235352,4.02849737784452,28,2.83512958830933,1.99793627843332
4,2,15,16,2.548073065491,2.50946518887561,5.05753825436661,29,2.83512958830933,2.02041105506067
4,2,15,17,2.548073065491,1.76753252099142,4.31560558648242,30,2.83512958830933,1.99754356039073
4,2,16,17,2.548073065491,1.91770100692148,4.46577407241248,31,2.83512958830933,2.01903428967812
4,2,16,18,2.548073065491,0.857288111093893,3.40536117658489,32,2.83512958830933,1.99725520284504
5,2,16,19,3.56045484820725,0.0369003489934551,3.59735519720071,33,3.13437443369832,1.97931552258377
5,2,17,19,3.56045484820725,0.0948864992689203,3.65534134747618,34,3.13437443369832,1.99704457096846
5,2,17,20,3.56045484820725,-0.182860473202771,3.37759437500448,35,3.13437443369832,1.97972143419519
5,2,17,21,3.56045484820725,-0.663190297842373,2.89726455036488,36,3.13437443369832,1.9653565249123
5,2,18,21,3.56045484820725,-0.527863194640245,3.03259165356701,37,3.13437443369832,1.98015514705147
5,2,18,22,3.56045484820725,-0.626631097690756,2.9338237505165,38,3.13437443369832,1.96611990158818
5,2,19,22,3.56045484820725,-0.490590297170163,3.06986455103709,39,3.13437443369832,1.98060285719502
5,2,20,22,3.56045484820725,0.306020817637528,3.86647566584478,40,3.13437443369832,1.99671164680831
5,3,21,22,3.21759613504495,0.693875963440444,3.91147209848539,41,2.55230067964969,2.01422221167794
5,3,21,23,3.21759613504495,0.00140082605245062,3.2189969610974,42,2.55230067964969,1.99666468483209
5,3,21,24,3.21759613504495,-0.905301679556003,2.31229445548895,43,2.55230067964969,1.98150529548112
5,3,21,25,3.21759613504495,-1.0429859453036,2.17461018974136,44,2.55230067964969,1.96845094452762
5,3,22,25,3.21759613504495,-0.607278009629047,2.6103181254159,45,2.55230067964969,1.98194908498506
5,3,23,25,3.21759613504495,-0.561473387327719,2.65612274771723,46,2.55230067964969,1.99662763304503
5,3,24,25,3.21759613504495,-0.536348542581654,2.6812475924633,47,2.55230067964969,2.01234441172045
5,3,25,25,3.21759613504495,-0.354102368069155,2.8634937669758,48,2.55230067964969,2.02897932272615
6,3,26,25,4.36127677733798,-0.175734441201463,4.18554233613652,49,2.74355603562509,2.04643020331382
6,3,27,25,4.36127677733798,0.497948278586967,4.85922505592495,50,2.74355603562509,2.06460958521477
6,3,27,26,4.36127677733798,-0.152109923192176,4.20916685414581,51,2.74355603562509,2.04464914070526
6,3,28,26,4.36127677733798,0.575203750205624,4.93648052754361,52,2.74355603562509,2.0621126997554
6,3,28,27,4.36127677733798,0.301693584485613,4.6629703618236,53,2.74355603562509,2.04299968236448
6,3,29,27,4.36127677733798,1.31534360101008,5.67662037834806,54,2.74355603562509,2.0598015736396
6,3,30,27,4.36127677733798,2.06049652009257,6.42177329743056,55,2.74355603562509,2.07716950029714
6,3,31,27,4.36127677733798,2.56349298053315,6.92476975787114,56,2.74355603562509,2.09505060632331
6,4,31,28,4.0680888103611,2.04961281610138,6.11770162646248,57,2.41194555132379,2.07437355775884
6,4,31,29,4.0680888103611,1.31828539948641,5.38637420984751,58,2.41194555132379,2.05565943848815
6,4,31,30,4.0680888103611,0.814407291275251,4.88249610163635,59,2.41194555132379,2.03870961442022
6,4,32,30,4.0680888103611,2.04090830747573,6.10899711783684,60,2.41194555132379,2.05379630170206
6,4,32,31,4.0680888103611,1.57931446894356,5.64740327930466,61,2.41194555132379,2.03746370941443
6,4,33,31,4.0680888103611,2.08448708140558,6.15257589176669,62,2.41194555132379,2.05205383345053
6,4,34,31,4.0680888103611,2.16640171025694,6.23449052061805,63,2.41194555132379,2.06708090915036
6,4,35,31,4.0680888103611,2.24806873126612,6.31615754162722,64,2.41194555132379,2.08250883743659
7,4,36,31,4.3328011962091,2.3189928325599,6.65179402876901,65,2.55077243345607,2.0983054093182
7,4,37,31,4.3328011962091,3.6710270419913,8.0038282382004,66,2.55077243345607,2.11444179358726
7,4,38,31,4.3328011962091,4.15540210727865,8.48820330348776,67,2.55077243345607,2.13089210364599
7,4,39,31,4.3328011962091,4.41380962474456,8.74661082095366,68,2.55077243345607,2.14763302952815
7,4,39,32,4.3328011962091,3.77396498541768,8.10676618162679,69,2.55077243345607,2.12660875300843
7,4,39,33,4.3328011962091,2.72077929659896,7.05358049280806,70,2.55077243345607,2.10723798886283
