subID,cue,coherence,model,loss,sample_size,n_params,n1_neut,s1_neut,n2_neut,s2_neut,B,n1_cong,n1_incong,s1_cong,s1_incong,n2_cong,n2_incong,s2_cong,s2_incong
1,0.5,0.56,"diff noise1, min drift = -1",16059.760640565857,8962,5,-0.013326,1.137441,-0.280997,2.477058,2.295001,,,,,,,,
1,0.5,0.515,"diff noise1, min drift = -1",1.0265942978775713,3,5,2.750732,10.0,-1.0,5.199587,14.964676,,,,,,,,
1,0.5,0.52,"diff noise1, min drift = -1",124.66592965317213,87,5,3.983575,1.044491,5.872788,4.335529,14.656768,,,,,,,,
1,0.5,0.53,"diff noise1, min drift = -1",2703.9643536560566,1785,5,1.922024,2.731945,-0.532955,3.578618,6.856422,,,,,,,,
1,0.5,0.54,"diff noise1, min drift = -1",7033.848377283653,4058,5,-0.195853,1.004825,-0.345282,2.746222,2.760917,,,,,,,,
1,0.5,0.61,"diff noise1, min drift = -1",18603.77582872226,11972,5,0.080569,1.761232,-0.209465,2.697578,1.492197,,,,,,,,
1,0.65,0.515,"diff noise1, min drift = -1",37.172083372797246,59,9,,,,,14.448609,2.875539,3.10052,4.438487,10.0,3.954115,-1.0,4.318709,4.648182
1,0.65,0.52,"diff noise1, min drift = -1",472.83186398505427,502,9,,,,,12.898196,5.504095,6.700572,3.310699,2.846896,2.025741,1.569852,3.676769,3.677897
1,0.65,0.53,"diff noise1, min drift = -1",4501.252992673669,2885,9,,,,,5.379489,1.606931,2.125897,1.605908,1.536534,0.10116,0.632766,3.007683,2.884875
1,0.65,0.54,"diff noise1, min drift = -1",8163.224613590673,4911,9,,,,,2.550076,0.045412,0.264327,0.996169,-0.117757,-0.115512,0.242833,2.580338,-1.0
1,0.65,0.61,"diff noise1, min drift = -1",17813.92962152419,11973,9,,,,,1.46656,0.318224,0.154156,2.106937,-1.0,-0.020751,0.002183,2.937858,-1.0
1,0.8,0.515,"diff noise1, min drift = -1",305.8395509123482,431,9,,,,,13.280504,4.225473,4.187145,4.063342,3.681522,2.682119,3.833615,4.094263,3.78698
1,0.8,0.52,"diff noise1, min drift = -1",1765.1959697912232,1728,9,,,,,8.421537,3.166714,2.885805,2.531867,2.599574,1.553446,1.580022,2.943299,3.282544
1,0.8,0.53,"diff noise1, min drift = -1",6899.197850804765,5395,9,,,,,4.97477,1.92554,2.133504,1.410463,1.498656,0.324541,0.94656,2.659726,2.549581
1,0.8,0.54,"diff noise1, min drift = -1",9464.922726996785,6430,9,,,,,3.471503,1.083263,1.494164,1.260392,1.299494,-0.0621,0.339587,2.784645,2.8621
1,0.8,0.61,"diff noise1, min drift = -1",14990.64608942411,11986,9,,,,,1.52928,0.577598,0.462982,2.637715,-1.0,-0.079396,0.229318,3.407872,-1.0
2,0.5,0.56,"diff noise1, min drift = -1",16440.564820984106,9039,5,-0.030854,1.023954,-0.219392,2.332132,2.183671,,,,,,,,
2,0.5,0.52,"diff noise1, min drift = -1",191.95365841447145,103,5,4.729567,5.027455,1.929691,4.546665,14.839849,,,,,,,,
2,0.5,0.54,"diff noise1, min drift = -1",6735.876172752669,3976,5,-0.12283,0.941784,-0.314944,2.790661,2.809121,,,,,,,,
2,0.5,0.53,"diff noise1, min drift = -1",2610.9765329527745,1622,5,2.792636,3.395281,-0.138335,3.52552,8.384722,,,,,,,,
2,0.5,0.61,"diff noise1, min drift = -1",18455.61059242096,11966,5,0.078382,1.789207,-0.228442,2.707652,1.481499,,,,,,,,
2,0.65,0.56,"diff noise1, min drift = -1",16494.802436607395,9378,9,,,,,2.216512,0.16369,0.258162,1.465078,-0.544178,-0.111219,-0.004299,2.470529,-1.0
2,0.65,0.52,"diff noise1, min drift = -1",486.75951079164463,499,9,,,,,10.182041,2.772995,4.07965,4.264487,2.785199,1.282758,1.574196,3.428808,3.363166
2,0.65,0.54,"diff noise1, min drift = -1",8293.26509381541,4940,9,,,,,2.480456,-0.032919,0.185705,1.03271,-0.037267,-0.045861,0.299711,2.516387,-1.0
2,0.65,0.53,"diff noise1, min drift = -1",4248.1994385288035,2903,9,,,,,5.325831,1.548346,1.403691,1.559969,2.402157,0.230671,0.460478,2.951365,3.001068
2,0.65,0.61,"diff noise1, min drift = -1",18068.544107039612,11972,9,,,,,1.520525,0.352407,0.155948,2.073199,-1.0,-0.116396,0.033841,2.917561,-1.0
2,0.65,0.515,"diff noise1, min drift = -1",42.940538005750135,59,9,,,,,14.762119,2.871264,-1.0,5.448787,-0.881898,4.176367,10.0,4.091154,5.875583
2,0.8,0.56,"diff noise1, min drift = -1",15850.274648613991,10080,9,,,,,2.202906,0.407548,0.500475,1.48339,0.011178,-0.00661,0.227757,2.480436,-1.0
2,0.8,0.52,"diff noise1, min drift = -1",1845.2257202692435,1810,9,,,,,7.202809,2.023267,2.059134,2.672588,3.324315,1.199351,0.96269,2.967748,3.081433
2,0.8,0.54,"diff noise1, min drift = -1",9473.708310605121,6321,9,,,,,3.794233,1.373945,1.784695,1.349761,1.169687,0.031114,0.394974,2.714471,2.719874
2,0.8,0.53,"diff noise1, min drift = -1",6848.677214939632,5354,9,,,,,4.216446,1.097686,1.30433,1.463181,1.604948,0.400528,0.716216,2.593469,2.513065
2,0.8,0.61,"diff noise1, min drift = -1",15232.62306692737,11982,9,,,,,1.557398,0.625211,0.442146,2.592766,-1.0,-0.096504,0.150847,3.546038,-1.0
2,0.8,0.515,"diff noise1, min drift = -1",297.7400122097507,403,9,,,,,13.964017,4.319802,4.716462,4.754664,4.064201,3.177322,2.822535,3.89621,4.336622
3,0.5,0.56,"diff noise1, min drift = -1",16123.974487548408,8956,5,-0.025435,1.056289,-0.216744,2.391728,2.207364,,,,,,,,
3,0.5,0.52,"diff noise1, min drift = -1",152.83373424161041,84,5,3.572604,5.050836,1.090413,5.406444,14.605617,,,,,,,,
3,0.5,0.54,"diff noise1, min drift = -1",6998.565656587483,4081,5,-0.176758,1.143988,-0.454384,2.905988,2.942539,,,,,,,,
3,0.5,0.53,"diff noise1, min drift = -1",2452.2456916760666,1659,5,2.761621,2.783267,-0.274798,3.59496,7.89726,,,,,,,,
3,0.5,0.61,"diff noise1, min drift = -1",18490.271757777067,11961,5,0.074595,1.766062,-0.247072,2.810771,1.479657,,,,,,,,
3,0.65,0.56,"diff noise1, min drift = -1",16667.85332608047,9390,9,,,,,2.191429,0.158569,0.221086,1.432984,-0.577054,-0.140916,0.116678,2.443437,-1.0
3,0.65,0.52,"diff noise1, min drift = -1",363.7371223282557,452,9,,,,,13.105362,3.234312,4.76764,3.344456,1.516042,3.859867,4.677473,4.149584,3.670878
3,0.65,0.54,"diff noise1, min drift = -1",8217.850864992468,4904,9,,,,,2.467069,0.004395,0.184445,0.967618,-0.184572,-0.106126,0.264738,2.49384,-1.0
3,0.65,0.53,"diff noise1, min drift = -1",4187.052296947854,2843,9,,,,,6.201227,2.112532,2.470863,2.027639,2.19701,0.120045,0.872144,3.066537,2.988543
3,0.65,0.515,"diff noise1, min drift = -1",19.815149404568604,42,9,,,,,14.897342,2.102069,0.457767,3.094299,-1.0,6.319698,9.376177,4.396916,7.865068
3,0.65,0.61,"diff noise1, min drift = -1",17704.438480191046,11968,9,,,,,1.512525,0.331697,0.119622,2.227009,-1.0,-0.129014,0.07026,3.111828,-1.0
3,0.8,0.56,"diff noise1, min drift = -1",15721.944940325197,10038,9,,,,,2.172111,0.376305,0.584276,1.519785,-0.271498,-0.008323,0.263636,2.480875,-1.0
3,0.8,0.52,"diff noise1, min drift = -1",1817.5702795668142,1807,9,,,,,7.81088,2.360395,2.037729,2.783386,3.324866,1.515116,1.641301,2.987949,2.939106
3,0.8,0.54,"diff noise1, min drift = -1",9538.686992033081,6389,9,,,,,3.390347,0.980701,1.481005,1.256461,0.939092,0.000517,0.417631,2.763184,2.672936
