subID,cue,coherence,model,parameter,fitted_value
1,0.5,0.56,"diff noise1, min drift = -1",n1_neut,-0.013326
1,0.5,0.56,"diff noise1, min drift = -1",s1_neut,1.137441
1,0.5,0.56,"diff noise1, min drift = -1",n2_neut,-0.280997
1,0.5,0.56,"diff noise1, min drift = -1",s2_neut,2.477058
1,0.5,0.56,"diff noise1, min drift = -1",B,2.295001
1,0.5,0.515,"diff noise1, min drift = -1",n1_neut,2.750732
1,0.5,0.515,"diff noise1, min drift = -1",s1_neut,10.0
1,0.5,0.515,"diff noise1, min drift = -1",n2_neut,-1.0
1,0.5,0.515,"diff noise1, min drift = -1",s2_neut,5.199587
1,0.5,0.515,"diff noise1, min drift = -1",B,14.964676
1,0.5,0.52,"diff noise1, min drift = -1",n1_neut,3.983575
1,0.5,0.52,"diff noise1, min drift = -1",s1_neut,1.044491
1,0.5,0.52,"diff noise1, min drift = -1",n2_neut,5.872788
1,0.5,0.52,"diff noise1, min drift = -1",s2_neut,4.335529
1,0.5,0.52,"diff noise1, min drift = -1",B,14.656768
1,0.5,0.53,"diff noise1, min drift = -1",n1_neut,1.922024
1,0.5,0.53,"diff noise1, min drift = -1",s1_neut,2.731945
1,0.5,0.53,"diff noise1, min drift = -1",n2_neut,-0.532955
1,0.5,0.53,"diff noise1, min drift = -1",s2_neut,3.578618
1,0.5,0.53,"diff noise1, min drift = -1",B,6.856422
1,0.5,0.54,"diff noise1, min drift = -1",n1_neut,-0.195853
1,0.5,0.54,"diff noise1, min drift = -1",s1_neut,1.004825
1,0.5,0.54,"diff noise1, min drift = -1",n2_neut,-0.345282
1,0.5,0.54,"diff noise1, min drift = -1",s2_neut,2.746222
1,0.5,0.54,"diff noise1, min drift = -1",B,2.760917
1,0.5,0.61,"diff noise1, min drift = -1",n1_neut,0.080569
1,0.5,0.61,"diff noise1, min drift = -1",s1_neut,1.761232
1,0.5,0.61,"diff noise1, min drift = -1",n2_neut,-0.209465
1,0.5,0.61,"diff noise1, min drift = -1",s2_neut,2.697578
1,0.5,0.61,"diff noise1, min drift = -1",B,1.492197
1,0.65,0.515,"diff noise1, min drift = -1",n1_cong,2.875539
1,0.65,0.515,"diff noise1, min drift = -1",n1_incong,3.10052
1,0.65,0.515,"diff noise1, min drift = -1",s1_cong,4.438487
1,0.65,0.515,"diff noise1, min drift = -1",s1_incong,10.0
1,0.65,0.515,"diff noise1, min drift = -1",n2_cong,3.954115
1,0.65,0.515,"diff noise1, min drift = -1",n2_incong,-1.0
1,0.65,0.515,"diff noise1, min drift = -1",s2_cong,4.318709
1,0.65,0.515,"diff noise1, min drift = -1",s2_incong,4.648182
1,0.65,0.515,"diff noise1, min drift = -1",B,14.448609
1,0.65,0.52,"diff noise1, min drift = -1",n1_cong,5.504095
1,0.65,0.52,"diff noise1, min drift = -1",n1_incong,6.700572
1,0.65,0.52,"diff noise1, min drift = -1",s1_cong,3.310699
1,0.65,0.52,"diff noise1, min drift = -1",s1_incong,2.846896
1,0.65,0.52,"diff noise1, min drift = -1",n2_cong,2.025741
1,0.65,0.52,"diff noise1, min drift = -1",n2_incong,1.569852
1,0.65,0.52,"diff noise1, min drift = -1",s2_cong,3.676769
1,0.65,0.52,"diff noise1, min drift = -1",s2_incong,3.677897
1,0.65,0.52,"diff noise1, min drift = -1",B,12.898196
1,0.65,0.53,"diff noise1, min drift = -1",n1_cong,1.606931
1,0.65,0.53,"diff noise1, min drift = -1",n1_incong,2.125897
1,0.65,0.53,"diff noise1, min drift = -1",s1_cong,1.605908
1,0.65,0.53,"diff noise1, min drift = -1",s1_incong,1.536534
1,0.65,0.53,"diff noise1, min drift = -1",n2_cong,0.10116
1,0.65,0.53,"diff noise1, min drift = -1",n2_incong,0.632766
1,0.65,0.53,"diff noise1, min drift = -1",s2_cong,3.007683
1,0.65,0.53,"diff noise1, min drift = -1",s2_incong,2.884875
1,0.65,0.53,"diff noise1, min drift = -1",B,5.379489
1,0.65,0.54,"diff noise1, min drift = -1",n1_cong,0.045412
1,0.65,0.54,"diff noise1, min drift = -1",n1_incong,0.264327
1,0.65,0.54,"diff noise1, min drift = -1",s1_cong,0.996169
1,0.65,0.54,"diff noise1, min drift = -1",s1_incong,-0.117757
1,0.65,0.54,"diff noise1, min drift = -1",n2_cong,-0.115512
1,0.65,0.54,"diff noise1, min drift = -1",n2_incong,0.242833
1,0.65,0.54,"diff noise1, min drift = -1",s2_cong,2.580338
1,0.65,0.54,"diff noise1, min drift = -1",s2_incong,-1.0
1,0.65,0.54,"diff noise1, min drift = -1",B,2.550076
1,0.65,0.61,"diff noise1, min drift = -1",n1_cong,0.318224
1,0.65,0.61,"diff noise1, min drift = -1",n1_incong,0.154156
1,0.65,0.61,"diff noise1, min drift = -1",s1_cong,2.106937
1,0.65,0.61,"diff noise1, min drift = -1",s1_incong,-1.0
1,0.65,0.61,"diff noise1, min drift = -1",n2_cong,-0.020751
1,0.65,0.61,"diff noise1, min drift = -1",n2_incong,0.002183
1,0.65,0.61,"diff noise1, min drift = -1",s2_cong,2.937858
1,0.65,0.61,"diff noise1, min drift = -1",s2_incong,-1.0
1,0.65,0.61,"diff noise1, min drift = -1",B,1.46656
1,0.8,0.515,"diff noise1, min drift = -1",n1_cong,4.225473
1,0.8,0.515,"diff noise1, min drift = -1",n1_incong,4.187145
1,0.8,0.515,"diff noise1, min drift = -1",s1_cong,4.063342
1,0.8,0.515,"diff noise1, min drift = -1",s1_incong,3.681522
1,0.8,0.515,"diff noise1, min drift = -1",n2_cong,2.682119
1,0.8,0.515,"diff noise1, min drift = -1",n2_incong,3.833615
1,0.8,0.515,"diff noise1, min drift = -1",s2_cong,4.094263
1,0.8,0.515,"diff noise1, min drift = -1",s2_incong,3.78698
1,0.8,0.515,"diff noise1, min drift = -1",B,13.280504
1,0.8,0.52,"diff noise1, min drift = -1",n1_cong,3.166714
1,0.8,0.52,"diff noise1, min drift = -1",n1_incong,2.885805
1,0.8,0.52,"diff noise1, min drift = -1",s1_cong,2.531867
1,0.8,0.52,"diff noise1, min drift = -1",s1_incong,2.599574
1,0.8,0.52,"diff noise1, min drift = -1",n2_cong,1.553446
1,0.8,0.52,"diff noise1, min drift = -1",n2_incong,1.580022
1,0.8,0.52,"diff noise1, min drift = -1",s2_cong,2.943299
1,0.8,0.52,"diff noise1, min drift = -1",s2_incong,3.282544
1,0.8,0.52,"diff noise1, min drift = -1",B,8.421537
1,0.8,0.53,"diff noise1, min drift = -1",n1_cong,1.92554
1,0.8,0.53,"diff noise1, min drift = -1",n1_incong,2.133504
1,0.8,0.53,"diff noise1, min drift = -1",s1_cong,1.410463
1,0.8,0.53,"diff noise1, min drift = -1",s1_incong,1.498656
1,0.8,0.53,"diff noise1, min drift = -1",n2_cong,0.324541
1,0.8,0.53,"diff noise1, min drift = -1",n2_incong,0.94656
1,0.8,0.53,"diff noise1, min drift = -1",s2_cong,2.659726
1,0.8,0.53,"diff noise1, min drift = -1",s2_incong,2.549581
1,0.8,0.53,"diff noise1, min drift = -1",B,4.97477
1,0.8,0.54,"diff noise1, min drift = -1",n1_cong,1.083263
1,0.8,0.54,"diff noise1, min drift = -1",n1_incong,1.494164
1,0.8,0.54,"diff noise1, min drift = -1",s1_cong,1.260392
1,0.8,0.54,"diff noise1, min drift = -1",s1_incong,1.299494
1,0.8,0.54,"diff noise1, min drift = -1",n2_cong,-0.0621
1,0.8,0.54,"diff noise1, min drift = -1",n2_incong,0.339587
1,0.8,0.54,"diff noise1, min drift = -1",s2_cong,2.784645
1,0.8,0.54,"diff noise1, min drift = -1",s2_incong,2.8621
1,0.8,0.54,"diff noise1, min drift = -1",B,3.471503
1,0.8,0.61,"diff noise1, min drift = -1",n1_cong,0.577598
1,0.8,0.61,"diff noise1, min drift = -1",n1_incong,0.462982
1,0.8,0.61,"diff noise1, min drift = -1",s1_cong,2.637715
1,0.8,0.61,"diff noise1, min drift = -1",s1_incong,-1.0
1,0.8,0.61,"diff noise1, min drift = -1",n2_cong,-0.079396
1,0.8,0.61,"diff noise1, min drift = -1",n2_incong,0.229318
1,0.8,0.61,"diff noise1, min drift = -1",s2_cong,3.407872
1,0.8,0.61,"diff noise1, min drift = -1",s2_incong,-1.0
