subID,cue,coherence,model,loss,sample_size,n_params,n1_neut,s1_neut,n2_neut,s2_neut,B,n1_cong,n1_incong,s1_cong,s1_incong,n2_cong,n2_incong,s2_cong,s2_incong
1,0.5,0.56,,7154.967612218388,3935,5,0.023873,0.970798,-0.170072,1.547537,1.338623,,,,,,,,
1,0.5,0.52,,2438.9878568231156,1180,5,-0.046123,1.050935,-0.626662,2.707106,2.746014,,,,,,,,
1,0.5,0.515,,413.78748680162704,206,5,2.421881,2.673824,-0.611346,3.58621,6.956286,,,,,,,,
1,0.5,0.53,,7932.631744302933,3816,5,-0.014969,0.532587,-0.227777,1.980935,2.060277,,,,,,,,
1,0.5,0.54,,7002.196613541225,3342,5,0.014116,0.577677,-0.14082,1.494787,1.688516,,,,,,,,
1,0.5,0.61,,5479.790985699402,4000,5,0.031011,2.070611,-0.269025,4.993983,1.000888,,,,,,,,
1,0.65,0.56,,6723.213038309041,3948,9,,,,,1.357532,0.487978,0.455282,1.118039,-0.654636,-0.230575,-0.053149,1.637307,-1.0
1,0.65,0.52,,2689.051433623699,1415,9,,,,,2.459514,0.123845,0.259066,1.071194,0.40899,-0.54267,-0.143133,2.567656,-0.708474
1,0.65,0.515,,415.7006022202594,240,9,,,,,6.635969,2.841486,3.664001,2.485156,2.245128,-1.0,0.044886,3.519924,2.84715
1,0.65,0.53,,8064.962671604369,4043,9,,,,,2.153811,0.357756,0.323881,0.958468,-0.130747,-0.39043,-0.004306,2.313885,-0.956436
1,0.65,0.54,,6686.625721915122,3399,9,,,,,1.675099,0.373065,0.392007,1.039898,-0.346714,-0.291944,0.039239,1.698042,-1.0
1,0.65,0.61,,5030.05826062036,4000,9,,,,,1.004557,0.67903,0.514207,1.971187,-1.0,-0.212116,-0.358208,10.0,-1.0
1,0.8,0.56,,5531.298515232531,3969,9,,,,,1.383504,0.948927,0.861773,1.228738,-0.869736,-0.328118,-0.035139,1.918591,-1.0
1,0.8,0.52,,2841.673826258779,1917,9,,,,,4.4153,2.343548,2.708603,1.265056,1.101349,-0.807829,-0.393566,3.084779,3.081327
1,0.8,0.515,,497.14674346387005,415,9,,,,,5.335758,2.340561,2.666514,1.703338,2.103786,-0.798454,-0.401569,3.204871,3.232771
