subID,cue,coherence,model,parameter,fitted_value
1,0.5,0.56,,n1_neut,0.023873
1,0.5,0.56,,s1_neut,0.970798
1,0.5,0.56,,n2_neut,-0.170072
1,0.5,0.56,,s2_neut,1.547537
1,0.5,0.56,,B,1.338623
1,0.5,0.52,,n1_neut,-0.046123
1,0.5,0.52,,s1_neut,1.050935
1,0.5,0.52,,n2_neut,-0.626662
1,0.5,0.52,,s2_neut,2.707106
1,0.5,0.52,,B,2.746014
1,0.5,0.515,,n1_neut,2.421881
1,0.5,0.515,,s1_neut,2.673824
1,0.5,0.515,,n2_neut,-0.611346
1,0.5,0.515,,s2_neut,3.58621
1,0.5,0.515,,B,6.956286
1,0.5,0.53,,n1_neut,-0.014969
1,0.5,0.53,,s1_neut,0.532587
1,0.5,0.53,,n2_neut,-0.227777
1,0.5,0.53,,s2_neut,1.980935
1,0.5,0.53,,B,2.060277
1,0.5,0.54,,n1_neut,0.014116
1,0.5,0.54,,s1_neut,0.577677
1,0.5,0.54,,n2_neut,-0.14082
1,0.5,0.54,,s2_neut,1.494787
1,0.5,0.54,,B,1.688516
1,0.5,0.61,,n1_neut,0.031011
1,0.5,0.61,,s1_neut,2.070611
1,0.5,0.61,,n2_neut,-0.269025
1,0.5,0.61,,s2_neut,4.993983
1,0.5,0.61,,B,1.000888
1,0.65,0.56,,n1_cong,0.487978
1,0.65,0.56,,n1_incong,0.455282
1,0.65,0.56,,s1_cong,1.118039
1,0.65,0.56,,s1_incong,-0.654636
1,0.65,0.56,,n2_cong,-0.230575
1,0.65,0.56,,n2_incong,-0.053149
1,0.65,0.56,,s2_cong,1.637307
1,0.65,0.56,,s2_incong,-1.0
1,0.65,0.56,,B,1.357532
1,0.65,0.52,,n1_cong,0.123845
1,0.65,0.52,,n1_incong,0.259066
1,0.65,0.52,,s1_cong,1.071194
1,0.65,0.52,,s1_incong,0.40899
1,0.65,0.52,,n2_cong,-0.54267
1,0.65,0.52,,n2_incong,-0.143133
1,0.65,0.52,,s2_cong,2.567656
1,0.65,0.52,,s2_incong,-0.708474
1,0.65,0.52,,B,2.459514
1,0.65,0.515,,n1_cong,2.841486
1,0.65,0.515,,n1_incong,3.664001
1,0.65,0.515,,s1_cong,2.485156
1,0.65,0.515,,s1_incong,2.245128
1,0.65,0.515,,n2_cong,-1.0
1,0.65,0.515,,n2_incong,0.044886
1,0.65,0.515,,s2_cong,3.519924
1,0.65,0.515,,s2_incong,2.84715
1,0.65,0.515,,B,6.635969
1,0.65,0.53,,n1_cong,0.357756
1,0.65,0.53,,n1_incong,0.323881
1,0.65,0.53,,s1_cong,0.958468
1,0.65,0.53,,s1_incong,-0.130747
1,0.65,0.53,,n2_cong,-0.39043
1,0.65,0.53,,n2_incong,-0.004306
1,0.65,0.53,,s2_cong,2.313885
1,0.65,0.53,,s2_incong,-0.956436
1,0.65,0.53,,B,2.153811
1,0.65,0.54,,n1_cong,0.373065
1,0.65,0.54,,n1_incong,0.392007
1,0.65,0.54,,s1_cong,1.039898
1,0.65,0.54,,s1_incong,-0.346714
1,0.65,0.54,,n2_cong,-0.291944
1,0.65,0.54,,n2_incong,0.039239
1,0.65,0.54,,s2_cong,1.698042
1,0.65,0.54,,s2_incong,-1.0
1,0.65,0.54,,B,1.675099
1,0.65,0.61,,n1_cong,0.67903
1,0.65,0.61,,n1_incong,0.514207
1,0.65,0.61,,s1_cong,1.971187
1,0.65,0.61,,s1_incong,-1.0
1,0.65,0.61,,n2_cong,-0.212116
1,0.65,0.61,,n2_incong,-0.358208
1,0.65,0.61,,s2_cong,10.0
1,0.65,0.61,,s2_incong,-1.0
1,0.65,0.61,,B,1.004557
1,0.8,0.56,,n1_cong,0.948927
1,0.8,0.56,,n1_incong,0.861773
1,0.8,0.56,,s1_cong,1.228738
1,0.8,0.56,,s1_incong,-0.869736
1,0.8,0.56,,n2_cong,-0.328118
1,0.8,0.56,,n2_incong,-0.035139
1,0.8,0.56,,s2_cong,1.918591
1,0.8,0.56,,s2_incong,-1.0
1,0.8,0.56,,B,1.383504
1,0.8,0.52,,n1_cong,2.343548
1,0.8,0.52,,n1_incong,2.708603
1,0.8,0.52,,s1_cong,1.265056
1,0.8,0.52,,s1_incong,1.101349
1,0.8,0.52,,n2_cong,-0.807829
1,0.8,0.52,,n2_incong,-0.393566
1,0.8,0.52,,s2_cong,3.084779
1,0.8,0.52,,s2_incong,3.081327
1,0.8,0.52,,B,4.4153
1,0.8,0.515,,n1_cong,2.340561
1,0.8,0.515,,n1_incong,2.666514
1,0.8,0.515,,s1_cong,1.703338
1,0.8,0.515,,s1_incong,2.103786
1,0.8,0.515,,n2_cong,-0.798454
1,0.8,0.515,,n2_incong,-0.401569
1,0.8,0.515,,s2_cong,3.204871
1,0.8,0.515,,s2_incong,3.232771
1,0.8,0.515,,B,5.335758
