"","s1_onsets","n2_onsets","s2_onsets"
"0%",0.617805186739693,1.05711286648584,1.73441929102743
"5%",0.65164947953539,1.12322767774387,1.82007829376656
"10%",0.655908091135848,1.1429396972397,1.8496818154333
"15%",0.665592815787389,1.16315341657142,1.8784045944408
"20%",0.673932747413438,1.1788178457079,1.90302857574342
"25%",0.680087375592259,1.19414194805919,1.92522084540362
"30%",0.69183823402859,1.2092571912009,1.94536778956915
"35%",0.696280502765679,1.22656996141984,1.96790353137356
"40%",0.707942325705939,1.24343175232135,1.98971745929655
"45%",0.720488406891915,1.26088879670102,2.01433128191664
"50%",0.733298731308342,1.27795054776867,2.03740795226059
"55%",0.746373648970158,1.29808437177188,2.06200113184096
"60%",0.76068825292486,1.31854864171093,2.08969766555432
"65%",0.775696491144805,1.34351959465864,2.11937454391881
"70%",0.792378410967737,1.36819183715825,2.15194553704495
"75%",0.817374716889882,1.39719884239008,2.19037702319693
"80%",0.845448926835183,1.43024337923829,2.23413595463258
"85%",0.878251388531897,1.47594341104246,2.28980647851766
"90%",0.929181047600063,1.53950438453408,2.37003411957024
"95%",1.01164563696949,1.64670498464725,2.47961739538071
"100%",1.51837789329293,2.63630447406904,3.52063445587701
